TimeSample,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
ELE3,2296.666667,0,0,0,0,0,0,0,23.33333333,10,0,0,0,16.66666667,511.1111111,136.6666667,6.666666667,0,0,0,0,13.33333333,50,166.6666667,170,236.6666667,383.3333333,226.6666667,383.3333333,843.3333333,160,80,1098.888889,562.2222222,146.6666667
ELE4,3596.666667,1815.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELE5,1413.333333,715.5555556,0,0,0,0,0,0,53.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHE2,0,0,0,0,0,0,0,0,186.6666667,5600,4270,812.2222222,0,40,70,613.3333333,613.3333333,1047.777778,812.2222222,1242.222222,1385.555556,1098.888889,741.1111111,1003.333333,1767.777778,715.5555556,894.4444444,153.3333333,136.6666667,2248.888889,120,113.3333333,53.33333333,126.6666667,170
EHE3,4334.444444,0,0,0,0,0,0,0,23.33333333,0,0,0,3.333333333,3.333333333,13.33333333,0,0,33.33333333,20,33.33333333,0,0,0,0,0,113.3333333,357.7777778,223.3333333,460,843.3333333,536.6666667,283.3333333,306.6666667,216.6666667,243.3333333
EHE4,3781.111111,2771.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EHE5,3776.666667,5880,2341.111111,0,0,0,0,0,0,43.33333333,3.333333333,0,10,281.1111111,173.3333333,0,0,23.33333333,0,0,0,0,0,226.6666667,306.6666667,485.5555556,332.2222222,140,223.3333333,357.7777778,223.3333333,70,100,130,153.3333333
FLE1,1825.555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333333333,0,0
FLE2,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.6666667,0,0,0,0,0
FLE3,2120,0,0,0,0,0,0,3.333333333,0,0,70,460,587.7777778,860,460,716.6666667,716.6666667,587.7777778,113.3333333,1146.666667,511.1111111,281.1111111,766.6666667,434.4444444,485.5555556,281.1111111,153.3333333,113.3333333,281.1111111,562.2222222,133.3333333,306.6666667,140,233.3333333,246.6666667
FLE4,1413.333333,920,0,0,0,0,0,0,231.1111111,0,0,281.1111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.66666667,276.6666667,357.7777778,240,163.3333333,357.7777778,203.3333333,176.6666667,133.3333333
FLE5,1118.888889,1624.444444,520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,93.33333333,113.3333333,1328.888889,143.3333333,226.6666667,260,240,203.3333333
FHE1,0,0,0,0,0,0,0,0,0,3.333333333,5880,7438.888889,2580,1400,2870,3080,2150,1993.333333,2172.222222,1863.333333,1815.555556,357.7777778,971.1111111,945.5555556,562.2222222,280,236.6666667,283.3333333,408.8888889,690,206.6666667,383.3333333,357.7777778,434.4444444,332.2222222
FHE2,0,0,0,0,0,0,0,0,0,0,0,0,113.3333333,860,13.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FHE3,3873.333333,715.5555556,0,0,0,0,0,0,0,10,0,6.666666667,20,23.33333333,196.6666667,143.3333333,73.33333333,296.6666667,116.6666667,70,6.666666667,3.333333333,0,20,16.66666667,70,460,40,3.333333333,0,0,0,3.333333333,6.666666667,0
FHE4,4703.333333,3.333333333,0,0,0,0,0,0,0,83.33333333,332.2222222,0,3.333333333,0,0,6.666666667,10,0,3.333333333,0,0,3.333333333,0,0,0,3.333333333,0,3.333333333,0,0,0,3.333333333,0,0,3.333333333
FHE5,4234.444444,2380,0,0,0,0,0,0,0,0,163.3333333,60,0,0,36.66666667,0,0,3.333333333,0,3.333333333,0,6.666666667,0,6.666666667,0,0,20,0,3.333333333,3.333333333,0,0,0,0,0
