Enrichment,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
High,3.71189155,3.748868233,3.638478164,3.660749566,3.505888254,3.782942179,3.77467103,3.89115943,3.878196144,3.998157584,3.878196144,4.070198002,3.769204953,3.703950203,3.726808683,3.67982143,3.627126792,3.671471118,3.730773306,3.702133629,3.314077992,3.35981441,3.314077992,3.473713993,3.638478164,3.234938888,3.35981441,3.266100976,3.556020922,3.483492203,3.243836967,3.167612673,0,2.913166047,2.952038646
High,3.791058744,3.62689899,3.766239293,3.671471118,3.739915004,3.692151413,3.730773306,3.814536141,3.903746963,3.972454843,3.864833979,3.968218244,3.859998425,3.891593204,3.79848951,3.758987547,3.692053365,3.59018523,3.649756614,3.638478164,3.505888254,3.505888254,3.45668649,3.721435035,3.681934349,3.438964045,3.289266803,3.655127759,3.771089132,3.362963919,3.720793049,3.307472266,0,2.899394873,2.638932754
High,3.692151413,3.671471118,3.843986756,3.721435035,3.62689899,3.671471118,3.730773306,3.822088132,3.62689899,3.857995496,3.99313729,3.913866812,3.974557745,3.859998425,3.868115205,3.788945727,3.82592353,3.77467103,3.757640609,3.660749566,3.234938888,3.35981441,3.204993724,3.314077992,3.380994677,3.314077992,3.655127759,3.470132699,3.567013289,3.509038156,3.470132699,3.413467413,2.522733956,2.750679782,2.687132436
High,3.702133629,3.721435035,3.961732135,3.602771169,3.692151413,3.702133629,3.730773306,3.799026396,3.829511041,3.799026396,3.945134721,4.016518005,3.935053589,3.779187494,3.640911874,3.788945727,3.715529816,3.782942179,3.702133629,3.671471118,3.438964045,3.314077992,3.35981441,3.59018523,3.100332246,3.337547997,3.169249792,3.521268876,3.533164564,3.498448403,3.260309946,3.376759395,2.138828797,2.317366792,2.178976947
High,3.649756614,3.602771169,3.739915004,3.71189155,3.799026396,3.615002615,3.836809208,3.814536141,3.748868233,3.933706573,3.956269839,3.921044528,3.533729703,3.834696157,3.67982143,3.627126792,3.79848951,3.903746963,3.939458236,3.814536141,3.535842445,3.721435035,3.550078805,3.950737967,3.851047607,3.87156645,3.637033625,3.646174918,3.797413743,3.714413592,3.526468512,3.518206754,2.554825536,2.823111804,2.870468934
High,3.766239293,3.748868233,3.757640609,3.535842445,3.822088132,3.71189155,3.806850501,3.748868233,3.89115943,3.799026396,3.988058283,4.010766234,3.67982143,3.986965706,3.816970038,3.73780203,3.654272827,3.799026396,3.766239293,3.671471118,3.550078805,3.401189853,3.438964045,3.521123549,3.62689899,3.438964045,3.743065313,3.655127759,3.509038156,3.478710756,3.247673273,3.322885162,2.295933439,2.443523747,2.411058239
High,3.77467103,3.702133629,3.799026396,3.757640609,3.649756614,3.77467103,3.577223634,3.766239293,3.857995496,4.003120508,3.806850501,3.999028991,3.868115205,3.834696157,3.913866812,3.891593204,3.941892226,3.51600623,3.59018523,3.62689899,3.172829878,3.234938888,3.262951809,3.204993724,3.13809208,3.100332246,3.345242998,3.483492203,3.427395937,3.507990725,3.167612673,3.19801525,2.450420191,2.750679782,2.663700925
High,3.829511041,3.739915004,3.791058744,3.681934349,3.660749566,3.702133629,3.730773306,3.99313729,3.915979914,3.806850501,4.003120508,4.027797943,3.948624845,3.859998425,3.550758154,3.667234973,3.67982143,3.391111614,3.234938888,3.550078805,3.204993724,3.05897403,3.13809208,3.262951809,3.289266803,3.13809208,3.379990017,3.169249792,3.45634916,3.223553624,3.022061607,3.156650091,2.450420191,2.409181423,2.687132436
High,3.806850501,3.59018523,3.766239293,3.649756614,3.721435035,3.62689899,3.692151413,3.77467103,3.782942179,3.730773306,3.730773306,3.58293411,3.816970038,3.834696157,3.769204953,3.726808683,3.816970038,3.533729703,3.615002615,3.62689899,3.35981441,3.204993724,3.262951809,3.172829878,3.35981441,3.172829878,3.266100976,3.141240676,3.169249792,3.146438135,3.20709554,2.793867958,2.488080446,2.36361198,2.450420191
High,3.681934349,3.757640609,3.782942179,3.550078805,3.71189155,3.766239293,3.822088132,3.836809208,3.933706573,3.822088132,3.782942179,3.941892226,4.010766234,3.993039232,3.692053365,3.807828067,3.807828067,3.33998115,3.35981441,3.438964045,3.420487512,3.473713993,3.505888254,3.420487512,3.602771169,3.45668649,3.307472266,3.345242998,3.169249792,3.167612673,3.094548764,2.793867958,2.554825536,2.018423083,1.974665181
