Cycle,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35
D,0.636822098,1.32221929473392,1.38620161,0.884606581,1.24715461,1.15634720,0.884606581,0.636822098,0.636822098,0.636822098,0,0.884606581,0,1.04139268515823,0.884606581,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0.636822098,1.04139268515823,1.32221929473392,1.49136169383427,1.32221929473392,1.70757017609794,0.636822098,1.15634720,0,0,0.636822098,0,0,0,0,0,0.884606581,1.24715461,1.15634720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,2.08278537031645,2.04532297878666,1.85125834871908,2.00432137378264,1.83037478,1.73506635,0.636822098,1.04139268515823,1.04139268515823,1.15634720,1.04139268515823,0.884606581,1.15634720,0.636822098,0.636822098,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,2.0706535,2.1388288,2.00432137378264,2.0706535,1.95904139232109,1.85125834871908,1.04139268515823,0.884606581,1.15634720,1.32221929473392,1.04139268515823,0.636822098,0.636822098,0.884606581,0.636822098,0.636822098,0,0,1.24715461,0.636822098,0.636822098,0.636822098,0,0,0,0,1.04139268515823,0.636822098,0.884606581,0,0,0,0,0,0
D,0.884606581,1.61278385671974,2.0581729,2.0320813,1.90848501887865,1.78532983501077,0,0,0,1.53571597,1.38620161,1.64673039,1.38620161,1.53571597,1.53571597,1.38620161,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,1.24715461,1.97466518,1.89023467,1.85125834871908,2.0320813,0.884606581,0.636822098,1.38620161,1.53571597,1.32221929473392,1.04139268515823,1.67821478,1.38620161,1.38620161,1.04139268515823,0.636822098,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0.636822098,1.44195684,1.87118361,1.83037478,1.61278385671974,0,0.636822098,0.884606581,1.32221929473392,1.38620161,1.15634720,1.32221929473392,0.884606581,1.04139268515823,0.636822098,1.24715461,1.24715461,0,0,0,0,0.636822098,0.636822098,0,0,0,1.44195684,1.04139268515823,0.636822098,0,0,0,0,0
E,1.70757017609794,1.87118361,2.04532297878666,1.80843605,1.92599927,1.78532983501077,1.32221929473392,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0
E,1.53571597,2.1281838,2.00432137378264,1.98974637,2.2157257,2.0945876,1.15634720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,1.67821478,1.49136169383427,1.53571597,1.70757017609794,1.67821478,1.15634720,0.636822098,0.884606581,1.53571597,1.53571597,1.24715461,1.04139268515823,0,0.636822098,0.884606581,1.15634720,1.38620161,1.24715461,1.38620161,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,1.61278385671974,1.92599927,2.1060775,2.1388288,2.11727129565576,2.0706535,1.85125834871908,1.15634720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,0.884606581,1.38620161,1.24715461,1.49136169383427,1.61278385671974,1.32221929473392,1.38620161,0.884606581,0.884606581,1.04139268515823,1.15634720,1.04139268515823,0.636822098,0.636822098,1.15634720,0.884606581,0.884606581,1.38620161,0.636822098,1.15634720,1.04139268515823,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0
E,1.87118361,2.00432137378264,2.0706535,2.1281838,2.0706535,1.57595719,1.24715461,1.04139268515823,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,2.0945876,2.1060775,1.98974637,2.0581729,1.92599927,1.92599927,1.73506635,1.04139268515823,0,0,1.24715461,1.94283449,1.32221929473392,1.04139268515823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,1.32221929473392,1.89023467,1.92599927,2.1060775,1.92599927,2.04532297878666,1.70757017609794,0.884606581,0.636822098,0.884606581,1.15634720,0.884606581,0.884606581,0.636822098,0.636822098,0,0.636822098,0,0,0,0,0.884606581,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,1.44195684,2.0320813,2.1977399,2.11727129565576,2.2244467,2.14921911265538,2.0581729,1.49136169383427,1.15634720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E,0,1.04139268515823,1.73506635,1.87118361,1.90848501887865,2.2413804,1.83037478,1.67821478,0,0.636822098,1.15634720,1.04139268515823,0,0,1.04139268515823,1.24715461,0.636822098,0,0,0.636822098,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0
F,0.884606581,1.67821478,1.67821478,1.73506635,1.78532983501077,1.76092485,1.44195684,1.44195684,1.49136169383427,0.636822098,0.636822098,1.04139268515823,0,0,0,1.24715461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0.636822098,1.32221929473392,1.04139268515823,1.61278385671974,1.15634720,1.15634720,0,0,0.884606581,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,1.24715461,1.85125834871908,1.73506635,1.70757017609794,1.78532983501077,1.89023467,1.70757017609794,1.78532983501077,1.67821478,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0.884606581,1.04139268515823,1.38620161,1.53571597,1.32221929473392,1.53571597,1.24715461,0.636822098,0,1.32221929473392,1.70757017609794,1.44195684,0.884606581,0.636822098,0.636822098,0,0,0,0,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,0,1.04139268515823,0.884606581,1.04139268515823,1.15634720,1.24715461,1.49136169383427,1.53571597,1.24715461,0.636822098,0,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,1.64673039,2.0320813,1.57595719,1.78532983501077,1.44195684,1.67821478,1.80843605,1.73506635,1.32221929473392,1.15634720,0.884606581,0.884606581,1.38620161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F,1.85125834871908,2.04532297878666,2.0706535,1.95904139232109,1.85125834871908,1.98974637,1.80843605,1.32221929473392,1.24715461,0.884606581,1.04139268515823,0,0.636822098,0.636822098,1.67821478,1.15634720,1.24715461,0.884606581,0,0,0,0.636822098,0.636822098,0,0,0,0,0,0,0,0,0,0,0,0
F,0.636822098,1.57595719,1.76092485,1.89023467,1.80843605,1.73506635,1.70757017609794,1.57595719,1.53571597,1.24715461,1.49136169383427,1.15634720,1.15634720,0.884606581,0.636822098,1.49136169383427,0.884606581,0.636822098,1.24715461,0.636822098,0.636822098,0,0.636822098,0,0,0,0,0.884606581,1.24715461,0,0,0,0,0,0
F,0,1.70757017609794,1.87118361,1.80843605,1.95904139232109,1.98974637,1.57595719,1.15634720,1.57595719,0.636822098,1.24715461,1.85125834871908,1.64673039,1.32221929473392,1.67821478,1.61278385671974,1.32221929473392,1.15634720,1.24715461,1.04139268515823,1.57595719,1.24715461,1.24715461,1.15634720,0.636822098,0,0,0.636822098,0.884606581,0.884606581,0,1.04139268515823,0,1.32221929473392,0.884606581
F,0,1.15634720,1.57595719,1.67821478,1.76092485,1.90848501887865,1.53571597,1.49136169383427,1.24715461,0.636822098,0.636822098,0,1.15634720,0.884606581,0,0,1.04139268515823,1.15634720,1.24715461,1.15634720,0.884606581,1.24715461,1.44195684,1.15634720,0,1.04139268515823,0,0,1.24715461,1.15634720,0.884606581,0.636822098,0.636822098,1.15634720,0.636822098
