ALE1,ALE2,ALE3,ALE4,ALE5,AHE1,AHE2,AHE3,AHE4,AHE5,BLE1,BLE2,BLE3,BLE4,BLE5,BHE1,BHE2,BHE3,BHE4,BHE5,CLE1,CLE2,CLE3,CLE4,CLE5,CHE1,CHE2,CHE3,CHE4,CHE5,DLE1,DLE2,DLE3,DLE4,DLE5,DHE1,DHE2,DHE3,DHE4,DHE5,ELE1,ELE2,ELE3,ELE4,ELE5,EHE1,EHE2,EHE3,EHE4,EHE5,FLE1,FLE2,FLE3,FLE4,FLE5,FHE1,FHE2,FHE3,FHE4,FHE5
0,0,53.33333333,40,13.33333333,6.666666667,10,13.33333333,16.66666667,16.66666667,3.333333333,0,0,3.333333333,3.333333333,30,13.33333333,40,0,20,3.333333333,0,0,40,20,6.666666667,3.333333333,0,16.66666667,6.666666667,13.33333333,0,3.333333333,0,3.333333333,10,10,23.33333333,20,23.33333333,0,0,33.33333333,0,10,0,16.66666667,13.33333333,0,13.33333333,3.333333333,0,0,50,0,6.666666667,10,30,16.66666667,3.333333333
0,0,26.66666667,16.66666667,20,13.33333333,10,20,46.66666667,13.33333333,0,0,0,3.333333333,10,6.666666667,3.333333333,13.33333333,0,6.666666667,0,0,0,23.33333333,13.33333333,56.66666667,3.333333333,0,6.666666667,13.33333333,23.33333333,3.333333333,0,6.666666667,0,6.666666667,3.333333333,43.33333333,10,13.33333333,0,0,16.66666667,0,13.33333333,3.333333333,86.66666667,6.666666667,0,10,10,0,0,26.66666667,3.333333333,6.666666667,0,13.33333333,70,0
0,0,16.66666667,10,13.33333333,166.6666667,3.333333333,16.66666667,30,0,3.333333333,23.33333333,0,3.333333333,13.33333333,16.66666667,0,10,0,13.33333333,10,0,0,6.666666667,23.33333333,90,3.333333333,0,6.666666667,6.666666667,16.66666667,0,16.66666667,0,0,13.33333333,3.333333333,23.33333333,46.66666667,20,0,0,10,0,10,0,20,6.666666667,0,0,0,0,0,6.666666667,0,23.33333333,3.333333333,13.33333333,43.33333333,13.33333333
3.333333333,0,36.66666667,16.66666667,10,136.6666667,3.333333333,13.33333333,16.66666667,0,3.333333333,20,0,3.333333333,3.333333333,13.33333333,0,26.66666667,0,0,3.333333333,3.333333333,0,3.333333333,23.33333333,70,0,0,16.66666667,13.33333333,13.33333333,0,30,10,0,3.333333333,6.666666667,33.33333333,23.33333333,6.666666667,0,0,0,0,3.333333333,0,10,3.333333333,0,0,0,0,0,3.333333333,0,0,3.333333333,6.666666667,20,6.666666667
0,0,10,3.333333333,20,26.66666667,10,13.33333333,3.333333333,3.333333333,3.333333333,13.33333333,0,0,6.666666667,0,0,10,0,3.333333333,3.333333333,0,0,3.333333333,16.66666667,0,0,0,3.333333333,6.666666667,10,0,13.33333333,6.666666667,0,3.333333333,3.333333333,33.33333333,23.33333333,10,0,0,3.333333333,0,3.333333333,0,0,3.333333333,0,10,0,0,0,3.333333333,0,0,46.66666667,3.333333333,46.66666667,0
3.333333333,0,40,10,30,0,16.66666667,10,6.666666667,10,0,3.333333333,0,0,0,3.333333333,0,20,0,16.66666667,6.666666667,0,0,0,20,0,0,0,3.333333333,3.333333333,13.33333333,0,6.666666667,3.333333333,0,0,3.333333333,23.33333333,10,3.333333333,0,0,6.666666667,0,13.33333333,0,0,0,0,16.66666667,16.66666667,0,0,0,0,0,13.33333333,30,40,0
0,0,6.666666667,13.33333333,3.333333333,6.666666667,6.666666667,10,0,10,6.666666667,3.333333333,0,0,6.666666667,6.666666667,0,6.666666667,0,20,3.333333333,0,0,0,6.666666667,0,0,0,0,0,20,0,16.66666667,3.333333333,6.666666667,0,0,6.666666667,3.333333333,16.66666667,0,0,13.33333333,0,6.666666667,0,0,3.333333333,0,3.333333333,0,0,0,0,0,0,16.66666667,6.666666667,20,10
0,0,10,6.666666667,20,0,0,10,0,0,3.333333333,0,0,0,3.333333333,20,0,3.333333333,0,40,6.666666667,0,0,0,3.333333333,0,0,0,0,0,13.33333333,0,6.666666667,0,16.66666667,3.333333333,0,0,3.333333333,16.66666667,0,0,23.33333333,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,6.666666667,3.333333333,13.33333333,13.33333333
3.333333333,0,0,3.333333333,6.666666667,3.333333333,0,3.333333333,6.666666667,0,0,10,0,0,10,46.66666667,0,0,0,16.66666667,0,0,0,0,0,0,0,0,3.333333333,0,0,0,0,0,13.33333333,0,16.66666667,0,3.333333333,0,0,0,16.66666667,0,23.33333333,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,16.66666667,16.66666667
0,0,3.333333333,6.666666667,0,0,0,3.333333333,0,0,0,6.666666667,0,0,6.666666667,40,0,0,0,3.333333333,0,0,0,0,0,0,0,0,3.333333333,0,10,0,3.333333333,0,0,0,3.333333333,0,0,0,0,0,23.33333333,0,3.333333333,0,0,0,0,3.333333333,0,0,0,0,0,0,0,3.333333333,10,13.33333333
